business,category,title,value,conditions,valid_at,max_uses,address,photo,note
Brazuca Pizza,pizza,2-4-1! Pizza!,2-4-1!,,,3,,"1,2",
Curry Pizza,pizza,"Buy a Lrg Pizza, Get Order of Wings FREE! Max $11 OFF Lehi",FREE!,,,3,,"1,2",
Curry Pizza,pizza,"Buy 1 Curry Dish, Get Side & Soft drink FREE! Max $8 OFF Lehi",FREE!,,,3,,"1,2",
Domino's,pizza,2-4-1! Pizza! Carryout Only. Saratoga & Eagle Mtn,2-4-1!,,,3,,"1,2",
Domino's,pizza,2-4-1! Specialty Pizza! Carryout Only. Saratoga & Eagle Mtn,2-4-1!,,,3,,"1,2",
Domino's,pizza,2-4-1! Order of Wings! Carryout Only. Saratoga & Eagle Mtn,2-4-1!,,,1,,"1,2",
Firebird Pizza & Pasta,pizza,2-4-1! Pizza! Up to 2 Toppings,2-4-1!,,,3,,"1,2",
Firebird Pizza & Pasta,pizza,50% OFF! Any Specialty Pizza!,50% OFF!,,,1,,"1,2",
Firebird Pizza & Pasta,pizza,"Buy Any Calzone, Get One FREE!",FREE!,,,1,,"1,2",
Firebird Pizza & Pasta,pizza,"Buy Any Specialty Pizza, Get One FREE!",FREE!,,,1,,"1,2",
Gurus Cafe,pizza,"Buy 1 Pizza, Get 1 FREE! Provo Center St & UVU",FREE!,,,2,,"1,2",
Malawi's Pizza,pizza,"Buy Any Pizza or Salad, Get One FREE!",FREE!,,,1,,"1,2",
Marco's Pizza,pizza,2-4-1 Pizza! Santaquin Only,2-4-1 Pizza!,,,2,,"1,2","blue text printed as ""2-4-1 Pizza!"" (no ! after 2-4-1)"
Marco's Pizza,pizza,2-4-1 Salad! Santaquin Only,2-4-1 Salad!,,,2,,"1,2","blue text printed as ""2-4-1 Salad!"" (no ! after 2-4-1)"
MidiCi The Neapolitan Pizza Company,pizza,2-4-1! Pizza!,2-4-1!,,,3,,"1,2",
MidiCi The Neapolitan Pizza Company,pizza,2-4-1! Any Gourmet Salad!,2-4-1!,,,1,,"1,2",
MOD Pizza,pizza,2-4-1! Any Pizza! AF,2-4-1!,,,3,,"1,2",
MOD Pizza,pizza,2-4-1! Any Salad! AF,2-4-1!,,,3,,"1,2",
Mountain Mike's Pizza,pizza,2-4-1! Any Pizza! Saratoga Springs,2-4-1!,,,3,,"1,2",
Mountain Mike's Pizza,pizza,2-4-1! Lunch Buffet Saratoga Springs,2-4-1!,,,3,,"1,2",
Papa Murphy's,pizza,"Buy Any Pizza, Get One FREE! Provo & Park City",FREE!,,,2,,"1,2",
Pier 49 Pizza,pizza,2-4-1! All You Can Eat Lunch Buffet! AF Only,2-4-1!,,,2,,"1,2,4",
Pier 49 Pizza,pizza,2-4-1! Any Pizza! AF & Provo,2-4-1!,,,1,,"1,2,4",
Pier 49 Pizza,pizza,"Buy Any Pizza, Get One 50% OFF! Provo",50% OFF!,,,,,"1,2,4",
Pizza Hut,pizza,2-4-1! Med or Lrg Pizza! Carryout Only! All Wasatch Front Locations,2-4-1!,,,1,,"1,2,4",
Pizza Hut,pizza,2-4-1! Order of Cheese Sticks! Carryout Only! All Wasatch Front Locs,2-4-1!,,,2,,"1,2,4",
Pizza Hut,pizza,"Buy Med or Lrg Pizza, Get a Melt FREE! Carryout Only! All Wasatch",FREE!,,,3,,"1,2,4","line ends at ""All Wasatch"" on the card"
Ritz Eats and Sweets,pizza,2-4-1! Pizza! Inside Classic Fun Center Orem,2-4-1!,,,1,,"1,2,4",
Rock Creek Pizza,pizza,"2-4-1! Any 12"" or 14"" Pizza! AF",2-4-1!,,,3,,"1,2,4",
Rosati's Authentic Chicago Pizza,pizza,2-4-1! Any Pizza! Dine-in & Carry Out Only,2-4-1!,,,2,,"1,2,3,4",
Rosati's Authentic Chicago Pizza,pizza,2-4-1! Slice! Dine-in & Carry Out Only,2-4-1!,,,2,,"1,2,3,4",
Round Bites,pizza,2-4-1! Esfihas Mini Pizza!,2-4-1!,,,3,,"1,2,3,4",
The Place Pizza,pizza,2-4-1! Any Pizza!,2-4-1!,,,3,,"1,2,3,4",
Zub's Pizza & Sub's,pizza,"Buy Any Pizza, Get 1 FREE!",FREE!,,,1,,"1,2,3,4",
5 Star BBQ,restaurants,"Buy Any Meat Plate, Get a One-Meat Plate FREE!",FREE!,,,1,,"1,2,3,4",
5 Star BBQ,restaurants,"50% OFF! Any Meat Plate, Sandwich, Side or Other Reg Menu Item!",50% OFF!,,,1,,"1,2,3,4",
180 Tacos,restaurants,"Buy Two Tacos, Get One FREE!",FREE!,,,3,,"1,2,3,4",
Bajio Mexican Grill,restaurants,"Buy 1 Entree and 2 Drinks, Get 1 Entree FREE!",FREE!,,,2,,"1,2,3,4",
Bonchon Korean Fried Chicken,restaurants,2-4-1! Chicken Entree! Orem & Lehi,2-4-1!,,,3,,"1,2,3,4",
Bonchon Korean Fried Chicken,restaurants,2-4-1! House Fried Rice Entree! Orem & Lehi,2-4-1!,,,3,,"1,2,3,4",
Bubbakoo's Burritos,restaurants,"2-4-1! Burrito, Salad, Bowl, Quesadilla or Other Entree!",2-4-1!,,,2,,"1,2,3,4",
Buffalo Wild Wings GO,restaurants,"2-4-1! Burger, Sandwich, or Wrap! Lindon ONLY",2-4-1!,,,1,,"1,2,3,4",
Buffalo Wild Wings GO,restaurants,"Buy 1 Fountain Drink, Get 6 Boneless Wings FREE! Lindon ONLY",FREE!,,,1,,"1,2,3,4",
Buffalo Wild Wings,restaurants,FREE! Appetizer w/ Purchase $25 or More! Excl. Alcohol Orem & Lehi,FREE!,,,3,,"1,2,3,4",
Buffalo Wild Wings,restaurants,FREE! 6 Wings w/ Purchase $15 or More! Excl. Alcohol Orem & Lehi,FREE!,,,3,,"1,2,3,4",
Buffalo Wild Wings,restaurants,FREE! Kids Meal w/ Adult Entree! Orem & Lehi,FREE!,,,,,"1,2,3,4",
Bumblebees KBBQ & Grill,restaurants,2-4-1! Any Entree or Menu Item! All Locations,2-4-1!,,,1,,"1,2,3,4",
Bumblebees KBBQ & Grill,restaurants,"Buy 1 K-pop Fries, K-Philly, K-Noodles, Or Dup Bop, & 2 Drinks, Get 1 FREE! All Locations",FREE!,,,,,"1,2,3,4",wraps to 2 lines
Carrabba's Italian Grill,restaurants,"Buy 2 Entrees, Get a Dessert or Appetizer FREE!",FREE!,,,2,,"1,2,3,4",
Chili's,restaurants,FREE! Chips & Salsa w/ Any Entree Purchase! All Utah Locations,FREE!,,,,,"1,2,3,4",
Chubby's,restaurants,FREE! Order of Scones w/Any Purchase! All Locations,FREE!,,,,,"1,2,3,4",
Costa Vida,restaurants,"Buy 1 Entree & 2 Drinks, Get 1 Entree FREE! All UT Cnty, except UVU",FREE!,,,2,,"1,2,3,4",
Craving's Bistro,restaurants,"Buy Reg.Grilled Cheese and 2 Drinks, Get Reg.Grilled Cheese FREE!",FREE!,,,3,,"1,2,3,4",
Craving's Bistro,restaurants,"Buy Any Small Mac & Cheese, Get One FREE!",FREE!,,,2,,"1,2,3,4",
Denny's,restaurants,"Buy 1 Entrée & 2 Drinks, Get 1 FREE! Orem & Lehi",FREE!,,,,,"1,2,3,4",
Denny's,restaurants,Kids Eat FREE! Up to 2 Kids Per Paying Adult Anytime! Orem & Lehi,FREE!,,,,,"1,3,4",
El Pollo Loco,restaurants,"Buy 1 Combo Meal, Get 2nd FREE! Up to $8! Orem, Lehi & Partic Locs",FREE!,,,3,,"1,3,4",
Fabulosos Tacos,restaurants,2-4-1! Pastor Street Taco!,2-4-1!,,,3,,"1,3,4",
Firebird Pizza & Pasta,restaurants,50% OFF! Any Pasta Entree!,50% OFF!,,,1,,"1,3,4",
Five Sushi Brothers,restaurants,2-4-1! Any Sushi Roll!,2-4-1!,,,1,,"1,3,4",
Five Sushi Brothers,restaurants,2-4-1! Any Tempura-Fried Roll!,2-4-1!,,,3,,"1,3,4",
Ganesh Indian Cuisine,restaurants,"Buy 1 Dinner Entrée, Get 1 50% OFF! All Locs.",50% OFF!,,,3,,"1,3,4",
Golden Corral Buffet,restaurants,2-4-1! Lunch Buffet! M-F. Before 4 PM Orem No Early Bird,2-4-1!,,,3,,"1,3,4",
