id,business,category,deal,location_restriction,restrictions,usage_limit,address,latitude,longitude
pizza-001,Brazuca Pizza,pizza,2-4-1! Pizza!,,,3,,,
pizza-002,Curry Pizza,pizza,Buy 1 Curry Dish Get Side & Soft drink FREE! Max $8 OFF,Lehi,,2,,,
pizza-003,Curry Pizza,pizza,FREE! 12oz Can w/ Order of Wings FREE! Max $11 OFF,Lehi,,3,,,
pizza-004,Domino's,pizza,2-4-1! Order of Wings! Carryout Only,Saratoga & Eagle Mtn,Carryout Only,3,,,
pizza-005,Domino's,pizza,2-4-1! Pizza! Carryout Only,Saratoga & Eagle Mtn,Carryout Only,3,,,
pizza-006,Domino's,pizza,2-4-1! Specialty Pizza! Carryout Only,Saratoga & Eagle Mtn,Carryout Only,3,,,
pizza-007,Firebird Pizza & Pasta,pizza,2-4-1! Pizza! Up to 2 Toppings!,,,1,,,
pizza-008,Firebird Pizza & Pasta,pizza,50% OFF! Any Specialty Pizza!,,,1,,,
pizza-009,Firebird Pizza & Pasta,pizza,Buy Any Calzone Get One FREE!,,,1,,,
pizza-010,Firebird Pizza & Pasta,pizza,Buy Any Specialty Pizza Get One FREE!,,,1,,,
pizza-011,Gurus Cafe,pizza,Buy 1 Pizza Get 1 FREE!,Provo Center St & UVU,,1,,,
pizza-012,Malawi's Pizza,pizza,Buy Any Pizza or Salad Get One FREE!,,,1,,,
pizza-013,Marco's Pizza,pizza,2-4-1 Pizza!,Santaquin Only,,2,,,
pizza-014,Marco's Pizza,pizza,2-4-1 Salad!,Santaquin Only,,2,,,
pizza-015,MidiCi The Neapolitan Pizza Company,pizza,2-4-1! Pizza!,,,3,,,
pizza-016,MidiCi The Neapolitan Pizza Company,pizza,2-4-1! Any Gourmet Salad!,,,3,,,
pizza-017,Papa Murphy's,pizza,Buy Any Pizza Get One FREE!,Provo & Park City,,2,,,
pizza-018,Pier 49 Pizza,pizza,2-4-1! All You Can Eat Lunch Buffet! AF only,American Fork,,2,,,
pizza-019,Pier 49 Pizza,pizza,2-4-1! Any Pizza! AF and Provo,American Fork & Provo,,2,,,
pizza-020,Pizza Hut,pizza,2-4-1! Med or Lrg Pizza! Carryout Only! All Wasatch Front Locations,All Wasatch Front,Carryout Only,1,,,
pizza-021,Pizza Hut,pizza,2-4-1! Order of Cheese Sticks! Carryout Only! All Wasatch Front Locs,All Wasatch Front,Carryout Only,3,,,
pizza-022,Pizza Hut,pizza,Buy Med or Lrg Pizza Get a Melt FREE! Carryout Only! All Wasatch,All Wasatch Front,Carryout Only,2,,,
pizza-023,Pizza Pie Cafe,pizza,2-4-1! Buffet! Highland Only,Highland,,2,,,
pizza-024,Pizza Pie Cafe,pizza,Buy 1 Buffet and 2 Drinks Get 1 Buffet FREE! All UT County,All UT County,,2,,,
pizza-025,Pizza Pie Cafe,pizza,FREE! Kid's Buffet w/ Paying Adult! Orem,Orem,,unlimited,,,
pizza-026,Ritz Eats and Sweets,pizza,2-4-1! Pizza! Inside Classic Fun Center Orem,Orem,,1,,,
pizza-027,Rosati's Authentic Chicago Pizza,pizza,2-4-1! Any Pizza! Dine-in & Carry Out Only,,Dine-in & Carry Out Only,3,,,
pizza-028,The Place Pizza,pizza,2-4-1! Any Pizza!,,,1,,,
pizza-029,Zub's Pizza & Subs,pizza,Buy Any Pizza Get 1 FREE!,,,1,,,
restaurants-030,5 Star BBQ,restaurants,Buy Any Meal Plate Get a One-Meal Plate FREE!,,,1,,,
