business,city_used,status,latitude,longitude,notes
5 Star BBQ,"Provo, UT",not_found,,,REVIEW NEEDED
BYU Bowling & Games Center,"Provo, UT",not_found,,,REVIEW NEEDED
BYU Outdoors Unlimited,"Provo, UT",not_found,,,REVIEW NEEDED
BYU Studio 1030,"Provo, UT",not_found,,,REVIEW NEEDED
Bad Apple & FIXIT,"Provo, UT",not_found,,,REVIEW NEEDED
Bobbys Burgers,"Provo, UT",not_found,,,REVIEW NEEDED
Body Balance Massage and Float,"American Fork, UT",not_found,,,REVIEW NEEDED
Brazuca Pizza,"Provo, UT",not_found,,,REVIEW NEEDED
Bruster's Ice Cream,"Provo, UT",not_found,,,REVIEW NEEDED
Bumblebees KBBQ & Grill,"Provo, UT",not_found,,,REVIEW NEEDED
Chiropractic Access Accident Center,"Provo, UT",not_found,,,REVIEW NEEDED
Classy Smiles,"Provo, UT",not_found,,,REVIEW NEEDED
Coin Crazy,"Provo, UT",not_found,,,REVIEW NEEDED
Craving's Bistro,"Provo, UT",not_found,,,REVIEW NEEDED
Cravings Alisha's Cupcakes,"Provo, UT",not_found,,,REVIEW NEEDED
Dippin' Dots Fab Freddy's,"Lehi, UT",not_found,,,REVIEW NEEDED
Dreamwalk Park,"Provo, UT",not_found,,,REVIEW NEEDED
DryBarComedy.com,"Provo, UT",not_found,,,REVIEW NEEDED
Durley Dry Cleaners,"Provo, UT",not_found,,,REVIEW NEEDED
El Beto,"Provo, UT",not_found,,,REVIEW NEEDED
El Molcajete,"Provo, UT",not_found,,,REVIEW NEEDED
Escapes In Time,"Provo, UT",not_found,,,REVIEW NEEDED
FORGE Jewelry Works,"Provo, UT",not_found,,,REVIEW NEEDED
Fabulosos Tacos,"Provo, UT",not_found,,,REVIEW NEEDED
FatCats,"Provo, UT",not_found,,,REVIEW NEEDED
Golden Corral Buffet,"Orem, UT",not_found,,,REVIEW NEEDED
Gurus Cafe,"Provo, UT",not_found,,,REVIEW NEEDED
Healing Vibes,"Provo, UT",not_found,,,REVIEW NEEDED
Healing Vibes,"Orem, UT",not_found,,,REVIEW NEEDED
HiddenHunts.com,"Provo, UT",not_found,,,REVIEW NEEDED
High Country Adventure,"Provo Canyon, UT",not_found,,,REVIEW NEEDED
Hungry Hawaiian,"Provo, UT",not_found,,,REVIEW NEEDED
Improv Broadway,"Provo, UT",not_found,,,REVIEW NEEDED
Jersey Mikes,"Provo, UT",not_found,,,REVIEW NEEDED
Karaoke38,"Provo, UT",not_found,,,REVIEW NEEDED
Klucks Krispy Chicken,"Saratoga Springs, UT",not_found,,,REVIEW NEEDED
Kohinoor Cuisine of India,"Provo, UT",not_found,,,REVIEW NEEDED
Korean Dinewan Restaurant,"Provo, UT",not_found,,,REVIEW NEEDED
Laser Assault,"Provo, UT",not_found,,,REVIEW NEEDED
MTECH Cosmetology,"Lehi, UT",not_found,,,REVIEW NEEDED
Mandalyn Academy,"Provo, UT",not_found,,,REVIEW NEEDED
MidiCi The Neapolitan Pizza Company,"Provo, UT",not_found,,,REVIEW NEEDED
MilkShake Factory,"Provo, UT",not_found,,,REVIEW NEEDED
Monster Pest Control,"Provo, UT",not_found,,,REVIEW NEEDED
Nautical Bowls,"Provo, UT",not_found,,,REVIEW NEEDED
Ninja Playground,"Provo, UT",not_found,,,REVIEW NEEDED
Ombu Grill,"Provo, UT",not_found,,,REVIEW NEEDED
Onoh's Malasada Co,"Provo, UT",not_found,,,REVIEW NEEDED
Onoh's Malasada Co.,"Provo, UT",not_found,,,REVIEW NEEDED
Parlor Doughnuts,"Provo, UT",not_found,,,REVIEW NEEDED
Paul Mitchell the School Provo,"Provo, UT",not_found,,,REVIEW NEEDED
Provo Canyon Adventures,"Provo Canyon, UT",not_found,,,REVIEW NEEDED
Quarry Indoor Climbing Center,"Provo, UT",not_found,,,REVIEW NEEDED
Quick Wits Comedy,"Provo, UT",not_found,,,REVIEW NEEDED
Redline Racing,"Provo, UT",not_found,,,REVIEW NEEDED
Revive PT Cryo,"Provo, UT",not_found,,,REVIEW NEEDED
Ritz Eats and Sweets,"Orem, UT",not_found,,,REVIEW NEEDED
Roll Up Crepes,"Orem, UT",not_found,,,REVIEW NEEDED
Rosati's Authentic Chicago Pizza,"Provo, UT",not_found,,,REVIEW NEEDED
Rowley's Red Barn,"Santaquin, UT",not_found,,,REVIEW NEEDED
Rowley's Red Barn,"Provo, UT",not_found,,,REVIEW NEEDED
Salsa at Southworth,"Provo, UT",not_found,,,REVIEW NEEDED
Scratch Miniature Golf,"Provo, UT",not_found,,,REVIEW NEEDED
Splash Drinks and Treats,"Lehi, UT",not_found,,,REVIEW NEEDED
Taste117,"Provo, UT",not_found,,,REVIEW NEEDED
Tax Freedom Fighters,"Provo, UT",not_found,,,REVIEW NEEDED
The Great Greek Mediterranean Grill,"Provo, UT",not_found,,,REVIEW NEEDED
The Hive Trampoline Park,"Provo, UT",not_found,,,REVIEW NEEDED
The Pickr,"Lehi, UT",not_found,,,REVIEW NEEDED
The Rift Augmented Reality,"Provo, UT",not_found,,,REVIEW NEEDED
The Yard Milkshake Bar,"Provo, UT",not_found,,,REVIEW NEEDED
Tommy's Burgers,"Provo, UT",not_found,,,REVIEW NEEDED
UVU Athletics,"Provo, UT",not_found,,,REVIEW NEEDED
UVU Scoops,"Provo, UT",not_found,,,REVIEW NEEDED
UVU Store,"Provo, UT",not_found,,,REVIEW NEEDED
Us and Art,"Provo, UT",not_found,,,REVIEW NEEDED
Utah Center for the Ceramic Arts,"Provo, UT",not_found,,,REVIEW NEEDED
Utah Country Dance,"Provo, UT",not_found,,,REVIEW NEEDED
Utah Grizzlies,"Provo, UT",not_found,,,REVIEW NEEDED
Voltage eBike,"Provo, UT",not_found,,,REVIEW NEEDED
Wayback Burgers,"Pleasant Grove, UT",not_found,,,REVIEW NEEDED
Yummy Ice Cream,"Provo, UT",not_found,,,REVIEW NEEDED
Zub's Pizza & Sub's,"Provo, UT",not_found,,,REVIEW NEEDED
Zub's Pizza & Subs,"Provo, UT",not_found,,,REVIEW NEEDED
Arby's,"Provo, UT",found,40.2140518,-111.6583366,
Auntie Anne's,"Lehi, UT",found,40.4358245,-111.8854329,
Avenue Bakery,"Provo, UT",fallback,40.3766311,-111.8062942,REVIEW NEEDED
